Year,Type,Country,Athlete,Sport,Medal,Age
1950,Summer,France,Angel Moody,Tennis,Bronze,25
1950,Summer,Japan,Thomas Clark,Rowing,Bronze,20
1950,Summer,South Korea,Sara Rose,Rowing,Gold,25
1950,Summer,Italy,Heidi Torres,Rowing,,39
1950,Summer,South Korea,Douglas Hunter,Swimming,Bronze,34
1950,Summer,Canada,Troy Martin,Soccer,Gold,19
1950,Summer,Brazil,Tricia Campbell,Rowing,Silver,24
1950,Summer,South Korea,David Cannon,Soccer,Gold,29
1950,Summer,Australia,Brittney Lawrence,Rowing,,30
1950,Summer,UK,Laura Wood,Athletics,Silver,40
1950,Summer,Canada,Dr. George Miller II,Soccer,Gold,37
1950,Summer,USA,Doris Brewer,Athletics,,30
1950,Summer,China,Daniel Barnett,Swimming,Silver,25
1950,Summer,USA,Matthew Logan,Boxing,,30
1950,Summer,Canada,Brandon Roberts,Gymnastics,,18
1950,Summer,Germany,Brian Arellano,Basketball,Silver,39
1950,Summer,Russia,Elizabeth Watts,Tennis,Gold,30
1950,Summer,Brazil,Maxwell Daniel,Weightlifting,Gold,39
1950,Summer,Australia,Debra Fry,Rowing,Bronze,28
1950,Summer,Australia,Brett Robinson,Swimming,Gold,34
1950,Summer,France,Mrs. Michele Soto,Cycling,Gold,22
1950,Summer,France,Makayla Rodriguez,Boxing,Gold,35
1950,Summer,India,Elizabeth Schmidt,Basketball,Gold,33
1950,Summer,South Korea,Dylan Trujillo,Rowing,,40
1950,Summer,China,Phillip Powell,Rowing,,34
1950,Summer,China,Catherine Adams,Athletics,Gold,29
1950,Summer,China,John Mays,Cycling,Bronze,27
1950,Summer,France,Peter Rodriguez,Tennis,,18
1950,Summer,Australia,Carol Church,Tennis,,24
1950,Summer,Germany,Jacqueline White,Weightlifting,Silver,22
1950,Summer,India,Travis Chavez,Gymnastics,Gold,23
1950,Summer,India,James Robbins,Boxing,Gold,36
1950,Summer,Canada,Charles Roberts,Gymnastics,Silver,30
1950,Summer,USA,Justin Cruz,Tennis,Silver,30
1950,Summer,Canada,Christina Williamson,Soccer,,21
1950,Summer,India,Lori Johnson,Boxing,,21
1950,Summer,Canada,Shannon Martin,Athletics,Silver,40
1950,Summer,Japan,Richard Fox,Soccer,Bronze,38
1950,Summer,France,Victoria Brewer,Tennis,Bronze,39
1950,Summer,Brazil,Kristen Diaz,Weightlifting,Gold,19
1950,Summer,India,Mr. George Cabrera MD,Swimming,Silver,34
1950,Summer,USA,Nicole Clements,Gymnastics,Gold,31
1950,Summer,Canada,Andrea James,Rowing,Gold,21
1950,Summer,Germany,Daniel Johnston,Soccer,Bronze,20
1950,Summer,USA,Kellie Martin,Tennis,Bronze,26
1950,Summer,Germany,Brian Brown,Soccer,Bronze,30
1950,Summer,France,Courtney Rowe,Gymnastics,,25
1950,Summer,UK,Teresa Wallace,Basketball,Gold,24
1950,Summer,USA,Lisa Morris,Swimming,,38
1950,Summer,Australia,Darlene Webb,Rowing,Bronze,33
1950,Summer,Brazil,Shelby Blake,Basketball,Silver,22
1950,Summer,Germany,Francisco Santos,Swimming,Silver,26
1950,Summer,Germany,Latasha Mcintosh,Cycling,Gold,27
1950,Summer,USA,Amy Rodriguez,Gymnastics,Bronze,25
1950,Summer,USA,Jose Mitchell,Soccer,Bronze,36
1950,Summer,USA,Thomas Pitts,Cycling,Bronze,20
1950,Summer,India,Kevin Henderson,Basketball,Bronze,32
1950,Summer,Russia,Ryan Nelson,Cycling,Silver,37
1950,Summer,France,Amber Hamilton MD,Tennis,Bronze,27
1950,Summer,South Africa,Andrew Freeman,Weightlifting,Gold,28
1950,Summer,Japan,Anthony Blevins,Weightlifting,Silver,36
1950,Summer,Australia,Phillip Williams,Swimming,Gold,26
1950,Summer,India,Michael Haynes,Athletics,Silver,20
1950,Summer,USA,Ronald Osborn,Athletics,,32
1950,Summer,Australia,Kelly Sampson,Cycling,Silver,18
1950,Summer,India,Nicholas Adams,Swimming,Gold,22
1950,Summer,South Africa,Jason Snyder,Swimming,Silver,22
1950,Summer,USA,Deborah Davis,Gymnastics,Silver,33
1950,Summer,Canada,Darlene Lewis,Athletics,Silver,24
1950,Summer,South Africa,Paula Graham,Soccer,Bronze,28
1950,Summer,Australia,Shannon Aguilar,Gymnastics,Gold,31
1950,Summer,Italy,Robin Gutierrez,Basketball,Gold,26
1950,Summer,Australia,Ryan Sanchez,Cycling,,40
1950,Summer,South Africa,George Thompson,Athletics,Gold,35
1950,Summer,India,Steven Howell,Soccer,Gold,39
1950,Summer,Russia,Kristina Lee,Weightlifting,,40
1950,Summer,Germany,Sherry Hamilton,Rowing,Silver,27
1950,Summer,South Africa,Luis Miranda,Swimming,,21
1950,Summer,Australia,Sheri Thornton,Tennis,Gold,27
1950,Summer,India,Cameron Daniels,Rowing,Gold,35
1950,Summer,Japan,Kenneth Mitchell,Tennis,,36
1950,Summer,Japan,Joanne Gonzalez,Basketball,,19
1950,Summer,UK,Melissa Wade,Basketball,,18
1950,Summer,France,Amanda Burton,Soccer,Bronze,25
1950,Summer,Australia,Catherine Williams,Gymnastics,,39
1950,Summer,Italy,James Key,Athletics,Gold,24
1950,Summer,India,Scott Hernandez,Weightlifting,,36
1950,Summer,South Africa,Kathleen Robles,Athletics,Gold,19
1950,Summer,Brazil,Ellen Lamb,Boxing,Gold,35
1950,Summer,Australia,Melissa Austin,Swimming,Bronze,33
1950,Summer,USA,Matthew Johnson,Boxing,Gold,24
1950,Summer,Australia,Kevin Buchanan,Gymnastics,,37
1950,Summer,USA,Tiffany Fox,Soccer,,20
1950,Summer,Italy,Christie Hester,Basketball,,30
1950,Summer,Germany,Alexander Davis,Soccer,Bronze,22
1950,Summer,Italy,Gina Grant,Weightlifting,Silver,33
1950,Summer,China,Curtis Miller,Soccer,Silver,40
1950,Summer,UK,Kyle Duran,Cycling,Silver,36
1950,Summer,South Korea,Kelly Chavez,Basketball,Silver,24
1950,Summer,Russia,Tina Thompson,Cycling,Bronze,24
1950,Summer,Japan,Michele Hunt,Rowing,,36
1950,Summer,China,Jane Reid,Weightlifting,,33
1950,Summer,France,Susan Montes,Soccer,,27
1950,Summer,Japan,Anthony Johnson,Soccer,Gold,23
1950,Summer,South Africa,Terri Ochoa,Athletics,Silver,33
1950,Summer,South Korea,Noah Sims,Cycling,Silver,18
1950,Summer,India,Kara Boyd,Gymnastics,,29
1950,Summer,South Korea,Caitlin Young,Cycling,,27
1950,Summer,Brazil,Janet Patel,Weightlifting,Gold,29
1950,Summer,France,Mrs. Toni Marshall MD,Weightlifting,Bronze,34
1950,Summer,China,Derrick Oconnor,Tennis,Bronze,28
1950,Summer,India,Penny Lee,Tennis,,33
1950,Summer,Germany,Carmen Jordan,Basketball,,27
1950,Summer,Brazil,Alex Odonnell,Cycling,Bronze,22
1950,Summer,UK,Zachary Harris,Swimming,Gold,36
1950,Summer,Canada,Barbara Salazar,Basketball,,33
1950,Summer,Italy,Mark Bright,Soccer,Silver,19
1950,Summer,India,John Anderson,Basketball,,40
1950,Summer,Canada,Edward Jackson,Gymnastics,Silver,40
1950,Summer,Japan,Jack Watson,Weightlifting,Bronze,26
1950,Summer,Germany,Danielle Santana,Boxing,Bronze,38
1950,Summer,Brazil,Brian Williams,Soccer,,20
1950,Summer,Germany,Thomas Keller,Rowing,,35
1950,Summer,Australia,Cynthia Page,Weightlifting,Silver,22
1950,Summer,Italy,Kristine Ballard,Gymnastics,Silver,21
1950,Summer,India,Douglas Smith,Gymnastics,Silver,33
1950,Summer,Russia,Andrea Hopkins,Swimming,Gold,23
1950,Summer,UK,Rick Moody,Cycling,Bronze,21
1950,Summer,Canada,Robert Smith,Tennis,Silver,37
1950,Summer,Japan,Robert Miller,Tennis,,20
1950,Summer,Brazil,Thomas Flowers,Rowing,Bronze,31
1950,Summer,UK,Melissa Cameron,Athletics,Bronze,18
1950,Summer,France,Sandra Jacobs,Tennis,Gold,30
1950,Summer,Japan,Amanda Hernandez,Weightlifting,Gold,19
1950,Summer,South Korea,Cheyenne Jackson,Swimming,Gold,24
1950,Summer,China,Sabrina Bishop,Gymnastics,Gold,39
1950,Summer,South Korea,Cindy Farmer DDS,Soccer,Bronze,37
1950,Summer,Italy,Mr. Justin Thompson,Swimming,Bronze,40
1950,Summer,Russia,James Johnson,Weightlifting,Gold,31
1950,Summer,Australia,Deanna Horton,Athletics,Bronze,23
1950,Summer,South Korea,David Perez,Basketball,Bronze,30
1950,Summer,Japan,Matthew Hernandez,Swimming,Gold,30
1950,Summer,Russia,Jennifer Hooper,Basketball,Gold,25
1950,Summer,Australia,Alex Wagner,Swimming,Bronze,34
1950,Summer,Australia,Charles Wolfe,Swimming,,32
1950,Summer,Brazil,Robert Wilson,Swimming,Bronze,22
1950,Summer,South Korea,Olivia Morgan,Soccer,,27
1950,Summer,Russia,Samantha Morris,Weightlifting,Bronze,31
1950,Summer,India,Kelly Ayers,Tennis,,23
1950,Summer,Canada,Jennifer Miller,Soccer,Gold,24
1950,Summer,Canada,Julie Brown,Athletics,Bronze,22
1950,Summer,South Korea,Shelley Gray,Basketball,,34
1950,Summer,South Korea,Ashley Collins,Tennis,Bronze,31
1950,Summer,South Korea,Samuel Flynn,Boxing,Bronze,32
1950,Summer,South Korea,Michael Burton,Boxing,Silver,29
1950,Summer,Australia,Paul Melendez,Boxing,Gold,23
1950,Summer,Italy,John Medina,Athletics,Silver,38
1950,Summer,Brazil,Brian Thompson,Rowing,Silver,39
1950,Summer,Italy,Maria Williams,Rowing,Gold,33
1950,Summer,South Africa,James Morales,Gymnastics,Bronze,27
1950,Summer,Canada,Carla Cooper,Basketball,Bronze,36
1950,Summer,Italy,Hannah Kirk,Weightlifting,Silver,28
1950,Summer,Brazil,Cheyenne Jones,Basketball,,25
1950,Summer,Italy,Kayla Matthews,Boxing,,23
1950,Summer,South Africa,Daniel Blevins,Gymnastics,,34
1950,Summer,South Korea,Christopher Gonzalez,Soccer,Silver,25
1950,Summer,Japan,Phillip Rowe,Weightlifting,Silver,35
1950,Summer,Australia,Katherine Jones,Tennis,Silver,27
1950,Summer,UK,Lisa Beasley,Boxing,Silver,21
1950,Summer,USA,Nicholas Martin,Athletics,Gold,24
1950,Summer,Italy,Julie Padilla,Boxing,Silver,23
1950,Summer,India,Isabel Hernandez,Soccer,,26
1950,Summer,USA,Amanda Mitchell,Rowing,Silver,29
1950,Summer,Germany,Randall Sanchez,Athletics,,22
1950,Summer,China,Michael Roberts,Boxing,Bronze,20
1950,Summer,India,Elizabeth Hatfield,Basketball,Gold,35
1950,Summer,South Africa,Susan Davenport,Basketball,Silver,38
1950,Summer,Russia,Andre Wolfe,Weightlifting,Silver,24
1950,Summer,Australia,Laura Ballard,Swimming,Bronze,20
1950,Summer,Germany,Nathan Russell,Gymnastics,,33
1950,Summer,South Korea,Margaret Benton,Basketball,Gold,38
1950,Summer,China,Jordan Moore,Boxing,Bronze,35
1950,Summer,Russia,Joseph Stone,Swimming,Gold,38
1950,Summer,Japan,Jacob Perez,Swimming,Bronze,40
1950,Summer,South Africa,Jason Snyder,Rowing,Gold,23
1950,Summer,Australia,Danny Ball,Boxing,Bronze,32
1950,Summer,Japan,Bethany Garcia,Swimming,Silver,37
1950,Summer,China,Timothy Thompson,Cycling,,30
1950,Summer,UK,James Carpenter,Gymnastics,Gold,38
1950,Summer,Brazil,Michael Murray,Tennis,Gold,39
1950,Summer,Russia,Brent Murphy,Boxing,Gold,20
1950,Summer,South Korea,Priscilla Hill,Boxing,Silver,37
1950,Summer,Japan,Joseph Robinson,Soccer,Bronze,25
1950,Summer,Canada,Daisy Mitchell,Basketball,Bronze,31
1950,Summer,South Africa,Nancy Weeks,Cycling,Silver,37
1950,Summer,UK,Steven Dunn,Soccer,Silver,39
1950,Summer,Japan,Robert Adams,Soccer,,40
1950,Summer,South Korea,Jerry Tucker,Gymnastics,,38
1950,Summer,Germany,Thomas Davis,Rowing,Gold,39
1950,Summer,India,Danielle Williams,Cycling,,21
1950,Summer,Germany,Charles White,Swimming,Silver,38
1950,Summer,China,Michael Graham,Boxing,Bronze,37
1950,Summer,Italy,Charles Obrien,Basketball,Bronze,18
1950,Summer,Italy,Christina Freeman,Tennis,,29
