Year,Type,Country,Athlete,Sport,Medal,Age
1933,Summer,UK,Catherine Anderson,Soccer,Bronze,23
1933,Summer,France,Robert Mcdaniel,Soccer,Gold,28
1933,Summer,India,Patrick Holland,Boxing,,35
1933,Summer,Russia,Jim Pittman,Rowing,,24
1933,Summer,France,Kirk Shelton,Rowing,Gold,35
1933,Summer,South Korea,Jason Anderson,Tennis,Gold,18
1933,Summer,India,Stephen Scott,Soccer,,27
1933,Summer,China,Donald Summers,Athletics,Gold,18
1933,Summer,China,Mathew Allen,Swimming,Bronze,27
1933,Summer,UK,Patrick Greene,Soccer,Gold,23
1933,Summer,Canada,Julie Moyer,Cycling,Gold,19
1933,Summer,Brazil,Sharon Torres,Gymnastics,Silver,22
1933,Summer,USA,Cynthia Martinez,Weightlifting,Bronze,24
1933,Summer,Italy,Stacey Cox,Weightlifting,Silver,37
1933,Summer,South Africa,Destiny Ward,Basketball,,19
1933,Summer,Russia,Kristopher Miller,Boxing,Bronze,33
1933,Summer,Canada,Tammy Hughes,Rowing,Silver,23
1933,Summer,Russia,Savannah Stevens,Weightlifting,,39
1933,Summer,India,Michelle Walters,Soccer,,35
1933,Summer,India,Julian Reese,Weightlifting,Gold,20
1933,Summer,Russia,Jennifer Lloyd,Tennis,Gold,24
1933,Summer,Australia,Carlos Taylor,Cycling,Silver,38
1933,Summer,Italy,Casey Sullivan,Cycling,Bronze,39
1933,Summer,UK,Jonathan Cox,Tennis,,25
1933,Summer,Germany,Jessica Clark,Gymnastics,Bronze,21
1933,Summer,UK,Marcia Harvey,Weightlifting,Bronze,31
1933,Summer,Japan,Christy Garcia,Weightlifting,,29
1933,Summer,China,Justin Miller,Swimming,Silver,38
1933,Summer,South Africa,Shannon Johnson,Swimming,Bronze,37
1933,Summer,Germany,Kari Chambers,Tennis,Gold,24
1933,Summer,Australia,Jasmine Ward,Cycling,Bronze,36
1933,Summer,USA,Tracy Nguyen,Swimming,,39
1933,Summer,Brazil,Robin Richardson,Gymnastics,Gold,23
1933,Summer,UK,Mark Bryant,Swimming,Gold,32
1933,Summer,Germany,Ray Huffman,Weightlifting,Bronze,26
1933,Summer,USA,Sean Blake,Rowing,,18
1933,Summer,Australia,Natasha Jones,Weightlifting,Bronze,29
1933,Summer,USA,Sheila Thompson,Cycling,,32
1933,Summer,India,Carol Mosley,Cycling,Silver,31
1933,Summer,South Korea,Martin Walker,Weightlifting,Silver,35
1933,Summer,Germany,Preston Mosley,Cycling,,40
1933,Summer,India,Matthew Hubbard,Athletics,Bronze,39
1933,Summer,Germany,Luke Harris,Athletics,Bronze,19
1933,Summer,Japan,Jeffrey Brennan,Tennis,Bronze,36
1933,Summer,UK,Colton Velez,Soccer,Silver,39
1933,Summer,India,Robert Ayala,Cycling,Bronze,27
1933,Summer,South Africa,Sheila Hill,Tennis,Bronze,40
1933,Summer,France,Karen Thomas,Tennis,,29
1933,Summer,Brazil,Melinda Duran,Tennis,Silver,20
1933,Summer,Russia,Omar Sanchez,Rowing,Bronze,34
1933,Summer,UK,Daniel Cantrell,Rowing,Gold,30
1933,Summer,UK,James Mcdaniel,Tennis,,37
1933,Summer,South Africa,Sara Torres,Boxing,Gold,18
1933,Summer,India,William Howard,Athletics,,26
1933,Summer,South Korea,Antonio Burton,Boxing,Gold,22
1933,Summer,China,Brenda Arroyo,Weightlifting,Bronze,22
1933,Summer,UK,Tony Boyd,Rowing,,30
1933,Summer,India,Jennifer Mcconnell,Boxing,Silver,33
1933,Summer,Canada,Devon Carr,Soccer,,32
1933,Summer,USA,Andrea Walker,Soccer,Gold,25
1933,Summer,Canada,Pamela Smith,Gymnastics,Gold,37
1933,Summer,USA,Lisa Barry,Rowing,Silver,28
1933,Summer,Japan,Jamie Thomas,Swimming,,40
1933,Summer,India,Tamara Hendrix,Weightlifting,Silver,28
1933,Summer,Germany,Megan Trevino,Cycling,Bronze,34
1933,Summer,South Africa,David Stone,Basketball,,19
