Year,Type,Country,Athlete,Sport,Medal,Age
2020,Winter,Australia,Andrea Williams,Skiing,Gold,31
2020,Winter,South Korea,Travis Fox,Speed Skating,Gold,22
2020,Winter,Russia,Matthew Cruz,Biathlon,,18
2020,Winter,Italy,John Norton,Speed Skating,Silver,30
2020,Winter,UK,Dana Camacho,Bobsleigh,,27
2020,Winter,Brazil,Brian Hill,Snowboarding,,23
2020,Winter,China,Christopher Burke,Figure Skating,Silver,38
2020,Winter,Japan,Renee Wright,Biathlon,,32
2020,Winter,Italy,Jeffrey Obrien,Ice Hockey,Gold,21
2020,Winter,India,Karen Foley,Skiing,Gold,19
2020,Winter,Russia,Taylor Padilla DVM,Bobsleigh,Silver,34
2020,Winter,Australia,Sharon Gonzalez,Bobsleigh,Gold,20
2020,Winter,USA,Deborah Castro,Skiing,Gold,28
2020,Winter,Canada,Sarah Little,Ice Hockey,Bronze,37
2020,Winter,Brazil,Shelley Cox,Skiing,Silver,33
2020,Winter,South Korea,David Mclaughlin,Snowboarding,,21
2020,Winter,South Africa,Natasha Powell,Biathlon,,39
2020,Winter,USA,William Carrillo,Snowboarding,,18
2020,Winter,South Africa,Jasmine Vargas,Figure Skating,Bronze,34
2020,Winter,France,Olivia Jones,Figure Skating,,36
2020,Winter,South Africa,Tracy Sanchez,Biathlon,Gold,24
2020,Winter,Brazil,Rebecca Strickland,Biathlon,,38
2020,Winter,South Africa,Dorothy Grant,Snowboarding,,22
2020,Winter,Italy,James Reeves,Figure Skating,,20
2020,Winter,France,Michelle Hamilton,Figure Skating,Gold,28
2020,Winter,China,Roger Sanchez,Figure Skating,Silver,24
2020,Winter,Italy,Christine Sparks,Curling,Silver,29
2020,Winter,Canada,Eric Gomez,Speed Skating,Silver,32
2020,Winter,Russia,Alfred Lamb,Curling,Silver,28
2020,Winter,Brazil,Paul Carey,Biathlon,Gold,28
2020,Winter,South Africa,Richard Mitchell,Snowboarding,Bronze,29
2020,Winter,China,Katelyn Goodman,Figure Skating,Bronze,22
2020,Winter,Russia,Renee Walters,Ice Hockey,Bronze,31
2020,Winter,Italy,James Barry,Ice Hockey,Gold,30
2020,Winter,South Africa,Charles Erickson,Speed Skating,Bronze,34
2020,Winter,Brazil,David Nolan,Bobsleigh,Bronze,28
2020,Winter,UK,Brad Webb,Speed Skating,Bronze,25
2020,Winter,South Africa,Terri Gordon,Bobsleigh,Silver,23
2020,Winter,USA,Samantha Jones,Ice Hockey,,20
2020,Winter,Russia,Christy Perez,Figure Skating,,36
2020,Winter,Canada,Jose Mooney,Bobsleigh,Gold,18
2020,Winter,Japan,Jessica Mason,Snowboarding,,31
2020,Winter,South Korea,Angel Lee,Figure Skating,,36
2020,Winter,Brazil,Jerry Brown,Biathlon,Silver,38
2020,Winter,UK,Judy Morgan,Figure Skating,Gold,20
2020,Winter,Russia,Alyssa Brown,Speed Skating,Silver,30
2020,Winter,Japan,Patricia Williams,Speed Skating,,36
2020,Winter,Brazil,Deanna Roman,Ice Hockey,Gold,39
2020,Winter,USA,Matthew Marshall,Speed Skating,Silver,18
2020,Winter,UK,Melissa White,Ice Hockey,,31
2020,Winter,Canada,Cassidy Kelley,Skiing,Bronze,27
2020,Winter,India,Anthony Smith,Speed Skating,Silver,34
2020,Winter,Italy,Dana Johnson,Speed Skating,Bronze,38
2020,Winter,Brazil,Ryan Wu,Ice Hockey,Bronze,26
2020,Winter,Brazil,Robert Clark,Skiing,Silver,31
2020,Winter,Brazil,Connie Johnson,Biathlon,Bronze,21
2020,Winter,South Africa,Mercedes Brown,Bobsleigh,Gold,26
2020,Winter,Brazil,Dylan Fernandez,Ice Hockey,Bronze,20
2020,Winter,China,David Taylor,Snowboarding,,33
2020,Winter,South Africa,John Webb,Curling,Silver,39
2020,Winter,China,Joseph Conner,Curling,Gold,29
2020,Winter,India,Lisa Smith,Speed Skating,Gold,39
2020,Winter,Germany,Frank Ballard,Bobsleigh,Silver,33
2020,Winter,France,Michael Arroyo,Biathlon,Bronze,31
2020,Winter,Italy,Chad Donovan,Bobsleigh,Gold,38
2020,Winter,Canada,Jon Austin,Biathlon,,27
2020,Winter,USA,Rachel Moore,Snowboarding,Silver,24
2020,Winter,Russia,Leslie Anderson,Biathlon,Bronze,37
2020,Winter,Russia,Sean Munoz,Biathlon,,34
2020,Winter,India,Melissa Martinez,Skiing,Gold,31
2020,Winter,USA,Michael Padilla,Speed Skating,Gold,21
2020,Winter,UK,Tiffany Glover,Speed Skating,Gold,34
2020,Winter,Japan,Michele Smith,Figure Skating,Silver,33
2020,Winter,South Korea,Robert White,Speed Skating,,34
2020,Winter,South Africa,Shannon Travis,Bobsleigh,Silver,38
2020,Winter,USA,Matthew Hall,Snowboarding,,34
2020,Winter,Germany,Nicole Smith,Figure Skating,,35
2020,Winter,Russia,Nicole Bentley,Curling,Silver,32
2020,Winter,Australia,Faith Gentry,Bobsleigh,Gold,40
2020,Winter,Germany,Cynthia Stephens,Bobsleigh,Silver,24
2020,Winter,India,Christopher Wood,Skiing,Bronze,33
2020,Winter,South Africa,Michelle Thompson,Speed Skating,Silver,22
2020,Winter,South Korea,Phillip Allison,Skiing,Bronze,18
