Year,Type,Country,Athlete,Sport,Medal,Age
2007,Winter,Brazil,Benjamin Goodman,Curling,Silver,29
2007,Winter,France,Anthony Franklin,Biathlon,Bronze,38
2007,Winter,Brazil,Andrew Hill,Speed Skating,,26
2007,Winter,South Korea,Scott Snyder,Snowboarding,Silver,26
2007,Winter,China,Nancy Lane,Curling,Bronze,37
2007,Winter,Canada,Sean Blair,Snowboarding,,24
2007,Winter,Italy,Jonathan Dickerson,Snowboarding,Gold,26
2007,Winter,France,Thomas Curtis,Bobsleigh,Gold,24
2007,Winter,UK,Megan Evans,Biathlon,Bronze,29
2007,Winter,Canada,Michael Ball,Ice Hockey,,21
2007,Winter,Canada,Kathy Lee,Ice Hockey,Silver,30
2007,Winter,Australia,Diane Anderson,Snowboarding,Gold,40
2007,Winter,Japan,Elizabeth Morgan,Figure Skating,,37
2007,Winter,Russia,Lori Walton,Biathlon,Bronze,30
2007,Winter,Germany,Nicholas Barton,Curling,Bronze,40
2007,Winter,Italy,Brian Travis,Biathlon,Gold,36
2007,Winter,Russia,Jeffrey Levine,Ice Hockey,Bronze,29
2007,Winter,India,Juan Thompson,Figure Skating,Bronze,20
2007,Winter,Germany,Deborah Mercer,Bobsleigh,Gold,29
2007,Winter,South Korea,Derrick Yu,Bobsleigh,Gold,27
2007,Winter,Brazil,Andrew Pitts,Snowboarding,Gold,28
2007,Winter,UK,Cheryl Thomas,Bobsleigh,,22
2007,Winter,UK,Sandra Murphy,Figure Skating,Silver,40
2007,Winter,South Korea,Donna Grimes,Curling,Bronze,28
2007,Winter,France,Annette Hill,Bobsleigh,,32
2007,Winter,Germany,Jeanne Cisneros,Curling,Gold,23
2007,Winter,Brazil,Jason Eaton,Ice Hockey,,25
2007,Winter,South Africa,Cody Williams,Skiing,Silver,18
2007,Winter,Italy,Stacy Reed,Speed Skating,Gold,38
2007,Winter,Australia,Amber Miller,Figure Skating,Silver,32
2007,Winter,Japan,Robert Wilson,Figure Skating,Gold,31
2007,Winter,France,Kenneth Garcia,Bobsleigh,Bronze,19
2007,Winter,South Korea,Frances Shelton,Snowboarding,Bronze,18
2007,Winter,South Korea,Timothy Parker,Ice Hockey,,31
2007,Winter,Canada,Mark Hurst,Curling,Gold,40
2007,Winter,Canada,Julie Carr,Figure Skating,,24
2007,Winter,India,Jennifer Mccormick,Biathlon,Bronze,30
2007,Winter,France,Michael Lara,Snowboarding,Silver,21
2007,Winter,China,Jacqueline Walker,Biathlon,Silver,35
2007,Winter,Russia,Donald Marsh,Figure Skating,Gold,32
2007,Winter,USA,Julie Watson,Skiing,,23
2007,Winter,USA,Matthew Butler,Biathlon,Bronze,20
2007,Winter,Brazil,Kenneth Gates,Snowboarding,Bronze,33
2007,Winter,Japan,Bryan Burgess,Figure Skating,Bronze,36
2007,Winter,USA,Teresa Williams,Skiing,Silver,26
2007,Winter,France,Robert Miller,Figure Skating,Silver,28
2007,Winter,France,Kenneth Thompson,Speed Skating,Bronze,19
2007,Winter,India,David Martin,Skiing,Bronze,29
2007,Winter,Canada,Travis Silva,Biathlon,Bronze,27
2007,Winter,Brazil,William Daniels,Snowboarding,,35
2007,Winter,China,David Jordan,Biathlon,Bronze,25
2007,Winter,USA,Nathan Hamilton,Biathlon,Bronze,22
2007,Winter,Russia,Robin Bradshaw,Curling,Bronze,31
2007,Winter,South Africa,Jennifer Flores,Figure Skating,Silver,33
2007,Winter,UK,Rachel Smith,Figure Skating,,28
2007,Winter,India,Robert Waters,Bobsleigh,Silver,31
2007,Winter,Russia,Sarah Mccoy,Figure Skating,Bronze,18
2007,Winter,China,Michelle Johnson,Speed Skating,Bronze,26
2007,Winter,Australia,Richard Huber,Bobsleigh,Silver,32
2007,Winter,Japan,Olivia Carter,Ice Hockey,Bronze,39
2007,Winter,Russia,Richard Travis,Speed Skating,Silver,23
2007,Winter,Germany,John Roman,Ice Hockey,Gold,28
2007,Winter,Russia,Lisa White,Skiing,Silver,40
2007,Winter,Canada,Mark Rivera,Ice Hockey,Silver,28
2007,Winter,China,Virginia Gregory,Snowboarding,,33
2007,Winter,Russia,Katrina Farrell,Skiing,Silver,30
2007,Winter,South Korea,Tanya Smith,Bobsleigh,,23
2007,Winter,UK,Wesley Hall,Figure Skating,,24
2007,Winter,USA,Jason Lopez,Skiing,Bronze,33
