Year,Type,Country,Athlete,Sport,Medal,Age
1943,Winter,Italy,Garrett Hunt,Biathlon,Bronze,21
1943,Winter,UK,Dennis Campbell,Biathlon,Gold,23
1943,Winter,Australia,Jesse Jackson,Bobsleigh,Bronze,18
1943,Winter,UK,David Smith,Speed Skating,Bronze,20
1943,Winter,Canada,Justin Flores,Snowboarding,Silver,34
1943,Winter,Canada,Jessica Smith,Skiing,Gold,38
1943,Winter,Japan,Cynthia Garza,Bobsleigh,,21
1943,Winter,Russia,Paul Fisher,Snowboarding,Gold,22
1943,Winter,Japan,Adrienne Martinez,Curling,Gold,22
1943,Winter,USA,Traci Zavala,Ice Hockey,Silver,31
1943,Winter,South Korea,Timothy Clark,Skiing,Gold,22
1943,Winter,Japan,Tammy Taylor,Ice Hockey,Gold,31
1943,Winter,South Africa,Thomas Hanson,Speed Skating,Gold,40
1943,Winter,China,Jessica Stone MD,Ice Hockey,,23
1943,Winter,Australia,Logan Smith,Speed Skating,Bronze,19
1943,Winter,Japan,Nicholas Bennett,Curling,Bronze,35
1943,Winter,South Africa,Carolyn Miller,Snowboarding,Bronze,25
1943,Winter,Australia,Jerry Park,Ice Hockey,Bronze,30
1943,Winter,South Korea,James Villa,Figure Skating,,28
1943,Winter,China,John Livingston,Bobsleigh,Silver,32
1943,Winter,Italy,Lucas Robertson,Biathlon,Gold,38
1943,Winter,India,Elizabeth Valdez,Ice Hockey,Silver,23
1943,Winter,Japan,William Sanchez,Curling,Bronze,37
1943,Winter,USA,Catherine Krueger,Bobsleigh,Bronze,23
1943,Winter,USA,Carrie Sanders,Curling,Bronze,39
1943,Winter,Italy,Robert Clark,Skiing,Silver,18
1943,Winter,Canada,Devin Diaz,Speed Skating,Silver,35
1943,Winter,South Korea,Joseph Fox,Bobsleigh,Gold,24
1943,Winter,Italy,Melissa Keller,Snowboarding,Gold,26
1943,Winter,France,Erica Henderson,Bobsleigh,Gold,26
1943,Winter,UK,Monica Pratt,Bobsleigh,Bronze,27
1943,Winter,UK,Danielle Hines,Speed Skating,,30
1943,Winter,Russia,Lindsay Howard,Biathlon,Silver,18
1943,Winter,Germany,Morgan Oconnor,Ice Hockey,Bronze,18
1943,Winter,Brazil,Aaron Gibson,Figure Skating,Silver,19
1943,Winter,Russia,Wendy Clark,Speed Skating,Gold,27
1943,Winter,USA,Theresa Anderson,Speed Skating,Silver,39
1943,Winter,India,Pamela Gonzalez,Skiing,Gold,25
1943,Winter,Germany,Connie Burnett,Speed Skating,,29
1943,Winter,UK,Stephanie Perez,Skiing,Bronze,25
1943,Winter,South Korea,Gregory Davis,Ice Hockey,,29
1943,Winter,Canada,Julie Sullivan,Curling,Gold,18
1943,Winter,South Korea,Brittney Chambers,Skiing,Silver,39
1943,Winter,UK,Kimberly Mitchell,Figure Skating,Silver,28
1943,Winter,Russia,James Marsh,Skiing,Bronze,29
1943,Winter,Russia,Ashley Ray,Speed Skating,Gold,35
1943,Winter,South Korea,Terri Carter,Speed Skating,Silver,24
1943,Winter,Japan,Carlos Bradley,Speed Skating,Gold,38
1943,Winter,UK,Stephanie Hanson,Skiing,,38
1943,Winter,Canada,Chad Harvey,Biathlon,,27
1943,Winter,USA,Michelle Hernandez,Skiing,Gold,39
1943,Winter,South Korea,Michael Moore,Speed Skating,Bronze,32
1943,Winter,South Africa,Jessica Woodward,Figure Skating,Gold,27
1943,Winter,UK,Tammie Reid,Bobsleigh,,26
1943,Winter,Australia,Michelle Barker,Skiing,Silver,18
1943,Winter,South Korea,Christian Howard,Figure Skating,Silver,27
1943,Winter,Russia,Jordan Mendez,Bobsleigh,Silver,20
1943,Winter,Australia,Oscar Smith,Figure Skating,Silver,25
1943,Winter,Italy,John Anderson,Curling,,34
1943,Winter,Canada,Philip Cunningham,Snowboarding,Bronze,29
1943,Winter,India,Anthony Hudson,Skiing,Silver,39
1943,Winter,India,Jonathan Lam,Speed Skating,Silver,25
1943,Winter,Russia,Shawn King,Speed Skating,Bronze,21
1943,Winter,France,Jeff Moss,Biathlon,,18
1943,Winter,Italy,Margaret Adams,Bobsleigh,Silver,38
1943,Winter,France,Brooke Martin,Speed Skating,Silver,20
1943,Winter,Canada,Joshua Roy,Snowboarding,Gold,39
1943,Winter,Canada,Kelly Harris,Curling,Silver,36
1943,Winter,China,Anna Taylor,Bobsleigh,Gold,34
1943,Winter,France,Eric Meza,Figure Skating,,22
1943,Winter,Italy,Joseph Brooks,Ice Hockey,Silver,32
1943,Winter,Russia,Stacy Torres,Curling,Gold,29
1943,Winter,Japan,Karen Armstrong,Curling,Silver,23
1943,Winter,South Africa,Jennifer Jordan,Snowboarding,,22
1943,Winter,Canada,Jessica Nichols,Biathlon,Silver,34
1943,Winter,Italy,Jimmy Howe,Bobsleigh,Gold,29
1943,Winter,Japan,John Davis,Snowboarding,Bronze,39
1943,Winter,China,Jeffrey Bullock,Bobsleigh,,37
1943,Winter,South Africa,Robert Holt,Figure Skating,Silver,28
1943,Winter,Germany,Christian Perez,Biathlon,,23
1943,Winter,USA,Thomas Jones,Biathlon,Bronze,33
1943,Winter,UK,Brian Henderson,Figure Skating,Gold,23
1943,Winter,Japan,Craig Adams,Bobsleigh,,33
1943,Winter,USA,Ryan Reynolds,Bobsleigh,Gold,29
1943,Winter,UK,Joshua Ramos,Figure Skating,Bronze,36
1943,Winter,Canada,Jonathan Valenzuela,Bobsleigh,,30
1943,Winter,UK,Mr. Mark Owens MD,Bobsleigh,Silver,34
