Year,Type,Country,Athlete,Sport,Medal,Age
2004,Winter,Italy,Nathan Campos,Bobsleigh,Silver,39
2004,Winter,Japan,Anthony Obrien,Ice Hockey,Silver,19
2004,Winter,Italy,William Vega,Speed Skating,,24
2004,Winter,France,Tina Kim,Skiing,Bronze,25
2004,Winter,China,Suzanne Garcia,Figure Skating,Bronze,27
2004,Winter,Canada,Kayla Young,Curling,,28
2004,Winter,USA,Loretta Flynn,Figure Skating,Silver,22
2004,Winter,France,Wendy Hanson,Skiing,,24
2004,Winter,Brazil,Molly Smith,Snowboarding,Bronze,27
2004,Winter,France,Margaret Lozano,Speed Skating,Bronze,29
2004,Winter,Australia,Mark Thornton,Skiing,,34
2004,Winter,Germany,Jason Beck,Bobsleigh,Silver,33
2004,Winter,Canada,Kiara Lynch,Ice Hockey,,34
2004,Winter,USA,Kenneth Johnson,Biathlon,,30
2004,Winter,India,Sandra Carter,Bobsleigh,Gold,22
2004,Winter,France,Cynthia Barker,Speed Skating,Bronze,26
2004,Winter,South Korea,Edward Clements,Bobsleigh,Silver,27
2004,Winter,India,Katrina Woodard,Ice Hockey,Silver,37
2004,Winter,Japan,Ryan Perry,Biathlon,Bronze,21
2004,Winter,Brazil,Peter Carlson,Bobsleigh,,27
2004,Winter,Australia,Shawn Cardenas,Curling,Gold,25
2004,Winter,Germany,Christopher Durham PhD,Biathlon,Gold,18
2004,Winter,Russia,Bradley Wilson,Ice Hockey,Bronze,36
2004,Winter,UK,Juan Pham,Figure Skating,,24
2004,Winter,South Africa,Amy Gentry,Curling,Silver,29
2004,Winter,France,Lisa Flores,Bobsleigh,Silver,23
2004,Winter,Italy,Daniel Garza,Skiing,Bronze,18
2004,Winter,France,Hannah Butler,Snowboarding,,19
2004,Winter,Russia,Courtney Jenkins,Skiing,,32
2004,Winter,UK,Kayla Olson,Curling,,36
2004,Winter,Brazil,Ann Arnold,Biathlon,Gold,22
2004,Winter,South Korea,Justin Taylor,Figure Skating,Bronze,22
2004,Winter,Brazil,Linda Olsen,Curling,,22
2004,Winter,France,Tiffany Reynolds,Biathlon,Bronze,30
2004,Winter,USA,Briana Larson,Biathlon,Bronze,24
2004,Winter,Germany,Carolyn Thomas,Biathlon,Silver,20
2004,Winter,South Africa,Donald White,Biathlon,Gold,37
2004,Winter,USA,Connor Hernandez,Snowboarding,Bronze,31
2004,Winter,Russia,Daniel Rowe,Bobsleigh,Silver,22
2004,Winter,South Korea,Mark Blackburn,Skiing,Gold,32
2004,Winter,Germany,Charlotte Brown,Biathlon,Bronze,37
2004,Winter,France,Jennifer Williams,Figure Skating,Bronze,35
2004,Winter,USA,Emily Oliver,Figure Skating,Bronze,36
2004,Winter,Japan,Roger Tate,Ice Hockey,Gold,23
2004,Winter,Canada,Robert Bell,Ice Hockey,,18
2004,Winter,UK,Ashley Oliver,Skiing,Gold,37
2004,Winter,China,Zachary Mckenzie,Speed Skating,Silver,22
2004,Winter,China,Melissa Padilla,Figure Skating,Gold,21
2004,Winter,Germany,Jason Burton,Biathlon,Bronze,38
2004,Winter,China,Dale Chambers,Bobsleigh,Gold,30
2004,Winter,Japan,Tara Vasquez,Bobsleigh,Gold,20
2004,Winter,China,Jeffrey Henderson,Figure Skating,Bronze,26
2004,Winter,Japan,Heidi Price,Ice Hockey,Gold,24
2004,Winter,Brazil,Jessica Waters,Biathlon,Silver,26
2004,Winter,South Africa,Garrett Stokes,Biathlon,Gold,31
2004,Winter,India,Mrs. Regina Conner,Speed Skating,,32
2004,Winter,Brazil,Christopher Martinez,Biathlon,Silver,32
2004,Winter,Italy,Valerie Quinn,Skiing,Bronze,21
2004,Winter,France,Kimberly Riggs,Figure Skating,Bronze,21
2004,Winter,Japan,Scott Brown,Snowboarding,Bronze,21
2004,Winter,UK,Blake Cruz,Speed Skating,Gold,35
2004,Winter,Italy,Samuel Turner,Speed Skating,Bronze,37
2004,Winter,UK,Tyler Jackson,Snowboarding,,18
2004,Winter,Russia,Kyle Dixon,Biathlon,Bronze,22
2004,Winter,Russia,Mary Ryan,Curling,Gold,37
2004,Winter,China,Jeffrey Barber,Biathlon,Bronze,37
2004,Winter,UK,Carolyn Gonzales,Figure Skating,Gold,25
2004,Winter,Canada,Ronald Richard,Figure Skating,Gold,32
2004,Winter,China,Chelsea Walton,Curling,Silver,37
2004,Winter,Brazil,Amanda Williams,Curling,Silver,26
2004,Winter,Germany,Samuel Carlson,Biathlon,Bronze,22
2004,Winter,China,Ashley Alvarez,Ice Hockey,Gold,37
2004,Winter,India,Kevin Gomez,Biathlon,Bronze,18
2004,Winter,Russia,Amanda Lowe,Bobsleigh,Silver,29
2004,Winter,Italy,Erica Meyer,Speed Skating,Silver,22
2004,Winter,Australia,Heather Robbins,Curling,,40
2004,Winter,USA,Anthony Perez,Speed Skating,Silver,38
2004,Winter,USA,Michael Sims,Speed Skating,Gold,24
2004,Winter,China,Cynthia Murphy,Bobsleigh,,39
2004,Winter,China,Rachel Sanchez,Biathlon,Silver,26
2004,Winter,Japan,Charlene Kelly,Snowboarding,Bronze,23
2004,Winter,Germany,Robert Garcia,Speed Skating,Gold,35
2004,Winter,South Africa,Noah Wise,Skiing,,24
2004,Winter,India,Taylor Reyes,Figure Skating,Gold,32
2004,Winter,India,Traci Huang,Figure Skating,Silver,28
2004,Winter,Italy,Meghan Cunningham,Skiing,,18
2004,Winter,Australia,Monica Lee,Speed Skating,Gold,36
2004,Winter,South Korea,Christine White,Figure Skating,Gold,31
2004,Winter,South Korea,Hayley Bowen,Speed Skating,Bronze,24
2004,Winter,Brazil,Jesus Riggs,Skiing,,22
2004,Winter,USA,Ryan Collins,Curling,,34
2004,Winter,Japan,Matthew Thompson,Skiing,Silver,18
2004,Winter,India,Juan Lee,Curling,Silver,37
2004,Winter,India,Samantha Smith,Ice Hockey,Bronze,38
2004,Winter,Russia,Charles Page,Figure Skating,Silver,33
2004,Winter,Germany,Daniel Love,Ice Hockey,Silver,36
2004,Winter,Germany,Larry Bond,Curling,Gold,36
2004,Winter,China,Jon Stuart,Curling,,29
2004,Winter,France,Julie Robbins,Ice Hockey,Bronze,31
2004,Winter,France,Mark Gonzalez,Bobsleigh,,29
2004,Winter,Canada,Amy Lam,Biathlon,Bronze,19
2004,Winter,Brazil,John Wood,Snowboarding,Silver,23
2004,Winter,China,Seth Ruiz,Snowboarding,,37
2004,Winter,South Africa,Sergio Bell,Curling,Gold,32
2004,Winter,USA,Ronald Mckinney,Bobsleigh,Gold,36
2004,Winter,UK,Sylvia Newman,Figure Skating,Gold,25
2004,Winter,South Korea,William Jacobs,Bobsleigh,,33
2004,Winter,Italy,Jennifer Hahn,Speed Skating,Silver,33
2004,Winter,France,Amanda Dunn,Ice Hockey,Bronze,21
2004,Winter,Australia,Stephanie West,Bobsleigh,Silver,40
2004,Winter,South Africa,James Ochoa MD,Snowboarding,Bronze,19
2004,Winter,Japan,Natalie Delacruz,Speed Skating,Gold,25
2004,Winter,China,Audrey Day,Speed Skating,,31
2004,Winter,China,Patricia Ellis,Biathlon,Gold,18
2004,Winter,Canada,Dylan Martin,Speed Skating,Bronze,39
2004,Winter,France,Kathryn Spencer,Curling,Bronze,29
2004,Winter,Brazil,Caitlyn Robinson,Biathlon,,32
2004,Winter,France,Anthony Pearson,Curling,Gold,19
2004,Winter,Brazil,Nicholas Wilkerson,Biathlon,Gold,32
2004,Winter,Italy,Valerie Clark,Speed Skating,Bronze,29
2004,Winter,UK,Tammy Fletcher,Speed Skating,,39
2004,Winter,South Africa,Mary Campos,Skiing,Silver,32
2004,Winter,UK,Nathan Gill,Snowboarding,Bronze,30
2004,Winter,India,Frederick Nichols,Snowboarding,Bronze,25
2004,Winter,Brazil,Justin Clarke,Biathlon,Bronze,38
2004,Winter,USA,Reginald Harvey,Biathlon,Silver,29
2004,Winter,Japan,Andrea Bauer,Ice Hockey,Gold,25
2004,Winter,USA,Justin Hubbard,Skiing,Bronze,36
2004,Winter,USA,Laura Franklin,Speed Skating,,37
2004,Winter,Japan,Jeffrey Morton,Biathlon,Bronze,34
2004,Winter,Brazil,Cynthia Santos,Ice Hockey,Gold,35
2004,Winter,Brazil,Felicia Carlson,Speed Skating,Bronze,28
2004,Winter,USA,Kristin Coleman,Ice Hockey,Silver,29
2004,Winter,UK,Jessica Davis,Ice Hockey,Gold,21
2004,Winter,South Africa,Angela Mitchell,Ice Hockey,Bronze,31
2004,Winter,South Africa,Vincent Davis,Biathlon,Silver,34
2004,Winter,UK,Angel Miller,Skiing,Gold,33
2004,Winter,Germany,Michael Jones,Biathlon,Gold,32
2004,Winter,Italy,Michelle Walker,Ice Hockey,Gold,24
2004,Winter,USA,Jon Long,Figure Skating,,23
2004,Winter,South Africa,Jill Jones,Bobsleigh,,39
2004,Winter,Japan,Nicole Rose DDS,Bobsleigh,,37
2004,Winter,Canada,Mark Hubbard,Speed Skating,Bronze,21
2004,Winter,China,Donald Fernandez,Ice Hockey,Silver,36
2004,Winter,Germany,Alison Fernandez,Ice Hockey,Silver,35
2004,Winter,Italy,Darrell Humphrey,Speed Skating,Silver,20
2004,Winter,Japan,Benjamin Henderson,Speed Skating,Gold,25
2004,Winter,France,Robert Barrett,Ice Hockey,Gold,34
2004,Winter,Japan,Cindy Mccormick,Figure Skating,Bronze,37
2004,Winter,India,Cory Robinson,Skiing,Gold,23
2004,Winter,India,Tracie Love,Figure Skating,Gold,35
2004,Winter,Canada,Sean Wilson,Curling,,29
2004,Winter,Russia,Monique Hernandez,Biathlon,,39
2004,Winter,UK,Wendy Shaw,Curling,,32
2004,Winter,Italy,Ms. Shannon Ferguson DVM,Figure Skating,Gold,24
