Year,Type,Country,Athlete,Sport,Medal,Age
1926,Winter,South Korea,Joshua York,Ice Hockey,Bronze,27
1926,Winter,South Korea,Joshua Knight,Ice Hockey,Gold,33
1926,Winter,China,Brandon Allen,Biathlon,Silver,34
1926,Winter,South Africa,Megan Wallace,Bobsleigh,Gold,21
1926,Winter,South Africa,Zachary Marquez,Skiing,Gold,18
1926,Winter,South Korea,Daisy Snyder MD,Speed Skating,Bronze,27
1926,Winter,Brazil,Patricia Hancock,Bobsleigh,Silver,36
1926,Winter,France,Michael Johnson,Curling,,28
1926,Winter,Brazil,Jason Vazquez,Curling,Gold,32
1926,Winter,South Africa,Crystal Parker,Figure Skating,Silver,27
1926,Winter,Australia,Sara Perkins,Figure Skating,Gold,39
1926,Winter,Japan,Thomas Hanna,Ice Hockey,,31
1926,Winter,Australia,Dawn Moreno,Ice Hockey,Silver,28
1926,Winter,Italy,Robert Thomas,Speed Skating,,32
1926,Winter,Germany,Valerie Brown,Bobsleigh,,24
1926,Winter,UK,Victoria Ewing,Curling,,33
1926,Winter,USA,Billy Allen,Bobsleigh,Bronze,36
1926,Winter,Brazil,Linda Hall,Figure Skating,Gold,40
1926,Winter,Italy,Robert Mora,Snowboarding,Silver,40
1926,Winter,Germany,Katherine Grant,Speed Skating,Bronze,27
1926,Winter,Canada,Melinda Jones,Curling,Bronze,19
1926,Winter,USA,David Chavez,Ice Hockey,,24
1926,Winter,South Korea,Jessica Rodriguez,Skiing,Bronze,31
1926,Winter,Canada,Connie Lee,Biathlon,Gold,36
1926,Winter,Italy,Susan Massey,Ice Hockey,Silver,30
1926,Winter,South Korea,Danielle Murphy DVM,Speed Skating,,31
1926,Winter,Australia,Joseph Gallegos,Snowboarding,Bronze,29
1926,Winter,USA,Michael Ortiz,Biathlon,Bronze,34
1926,Winter,Germany,Kelli Rose,Skiing,,36
1926,Winter,Russia,Anthony Garcia,Skiing,,18
1926,Winter,China,Melissa Hahn,Figure Skating,,26
1926,Winter,Germany,Christopher Weber,Speed Skating,Silver,32
1926,Winter,UK,Dakota Robbins,Curling,,33
1926,Winter,UK,Beth Floyd,Skiing,Gold,24
1926,Winter,Australia,Brenda Perez,Speed Skating,Silver,33
1926,Winter,Brazil,James Mcmillan DDS,Curling,Gold,40
1926,Winter,Italy,Deanna Ramos,Figure Skating,Silver,37
1926,Winter,Germany,Brandon Martin,Figure Skating,Silver,30
1926,Winter,USA,Douglas Cox,Speed Skating,Silver,35
1926,Winter,India,Michael Garcia,Snowboarding,Silver,18
1926,Winter,South Korea,Melissa Zimmerman,Biathlon,Bronze,32
1926,Winter,Germany,Tammy Bates,Figure Skating,Gold,33
1926,Winter,India,Christopher Conner,Skiing,Bronze,37
1926,Winter,Russia,Jessica Hill,Curling,Bronze,26
1926,Winter,USA,Omar Hahn DDS,Biathlon,Silver,33
1926,Winter,Australia,Jessica Page,Figure Skating,Silver,26
1926,Winter,Japan,Allen Reilly,Biathlon,Bronze,40
1926,Winter,South Africa,Amanda Williams,Snowboarding,Gold,20
1926,Winter,Canada,Craig Salinas,Ice Hockey,Bronze,37
1926,Winter,Canada,Jordan May,Biathlon,Silver,29
1926,Winter,Canada,William Booth,Curling,Gold,18
1926,Winter,Japan,Ryan Butler,Ice Hockey,Silver,31
1926,Winter,UK,Kenneth Walsh,Biathlon,Bronze,27
1926,Winter,France,Cory Parker,Biathlon,Silver,21
1926,Winter,Australia,Christine Shah,Curling,,18
1926,Winter,Italy,Lance Porter,Snowboarding,Silver,35
1926,Winter,South Korea,Jenna King,Curling,Silver,24
1926,Winter,India,Ricky Moore,Ice Hockey,Silver,34
1926,Winter,USA,Carolyn Gutierrez,Figure Skating,Bronze,31
1926,Winter,UK,Andrea White,Curling,,28
1926,Winter,France,Judy Webb,Ice Hockey,,36
1926,Winter,China,Crystal Decker,Ice Hockey,Silver,18
1926,Winter,South Korea,Kirk Freeman,Biathlon,Silver,30
1926,Winter,Italy,Daniel Webster,Biathlon,Gold,23
1926,Winter,Italy,Charles Wilson,Ice Hockey,,32
1926,Winter,South Africa,Kimberly Morgan DDS,Biathlon,Silver,37
1926,Winter,Germany,Barbara Bradshaw,Speed Skating,,20
1926,Winter,India,Jessica Williams,Biathlon,Gold,20
1926,Winter,Japan,Sarah Simmons,Biathlon,Gold,26
1926,Winter,Australia,Tonya Andersen,Speed Skating,Silver,30
1926,Winter,USA,Jeremy Smith,Skiing,,31
1926,Winter,India,Kristina Sanders,Curling,Gold,22
1926,Winter,Canada,Kaitlyn Daniel,Ice Hockey,Silver,31
1926,Winter,USA,Susan Peters,Speed Skating,,32
1926,Winter,Brazil,Daniel Francis,Speed Skating,Gold,25
1926,Winter,Canada,Cassie White MD,Biathlon,Bronze,38
1926,Winter,South Korea,Christopher Moore,Bobsleigh,,19
1926,Winter,Canada,Janice Lewis,Biathlon,,25
1926,Winter,South Korea,Jesse Sherman,Biathlon,Silver,18
1926,Winter,Canada,Amanda Smith,Ice Hockey,,32
1926,Winter,Germany,Jessica Avery,Curling,,39
1926,Winter,Canada,Janet Mckenzie,Speed Skating,,26
1926,Winter,Japan,Tiffany Russell,Figure Skating,Bronze,20
1926,Winter,USA,Anthony Gonzalez,Speed Skating,,18
1926,Winter,Canada,Joseph Brewer,Speed Skating,Silver,34
1926,Winter,Italy,Jeffrey Matthews,Curling,Silver,39
1926,Winter,USA,Regina Dillon,Figure Skating,,38
1926,Winter,India,Daniel Saunders,Bobsleigh,Gold,21
1926,Winter,Australia,Suzanne Robinson,Figure Skating,Bronze,21
1926,Winter,Australia,Amanda Peters,Biathlon,,24
1926,Winter,Japan,Margaret Keith,Curling,Bronze,24
1926,Winter,South Korea,Edward Price,Ice Hockey,Gold,37
1926,Winter,Brazil,Dennis Dixon,Snowboarding,Gold,35
1926,Winter,UK,Amy Mayer,Ice Hockey,,35
1926,Winter,Brazil,James Lane,Figure Skating,Bronze,31
1926,Winter,France,Jamie Rasmussen,Ice Hockey,Gold,33
1926,Winter,Germany,Ryan Prince,Biathlon,Gold,38
1926,Winter,South Korea,Jaime Roberts,Bobsleigh,Gold,26
1926,Winter,China,Amanda Carter,Speed Skating,Gold,27
1926,Winter,South Africa,James Garza,Bobsleigh,,34
1926,Winter,Japan,Melissa White,Snowboarding,Gold,39
1926,Winter,Japan,Justin Mason,Figure Skating,Silver,20
1926,Winter,UK,Christopher King,Bobsleigh,Gold,27
1926,Winter,Italy,Amber Dixon,Skiing,Bronze,28
1926,Winter,India,Eric Brown,Snowboarding,Gold,25
1926,Winter,South Africa,Gregory Montoya,Skiing,,24
1926,Winter,South Korea,Rickey Baker,Speed Skating,Silver,27
1926,Winter,India,Mark West,Bobsleigh,Silver,34
1926,Winter,USA,Sherry Jacobs,Biathlon,Silver,25
1926,Winter,Japan,Krista Murphy,Skiing,Silver,40
1926,Winter,India,Alexander Snyder,Bobsleigh,Bronze,24
1926,Winter,Australia,Rebecca Campbell,Curling,Gold,20
1926,Winter,USA,Edwin Thompson,Ice Hockey,Gold,23
1926,Winter,India,Anthony Howell,Curling,,26
1926,Winter,South Korea,John Murillo,Curling,Gold,39
1926,Winter,Brazil,Robert King,Skiing,Gold,26
1926,Winter,India,Mr. John Johnson,Biathlon,Silver,22
