Year,Type,Country,Athlete,Sport,Medal,Age
1923,Summer,Japan,Theresa Frazier,Athletics,Gold,21
1923,Summer,Germany,Samantha Bailey,Boxing,Bronze,29
1923,Summer,USA,Philip Horton,Tennis,Silver,20
1923,Summer,USA,Tiffany Moore,Rowing,Gold,32
1923,Summer,Germany,Andrew Brewer,Rowing,Gold,20
1923,Summer,India,Thomas Lane,Soccer,,26
1923,Summer,South Africa,Eduardo Ray,Weightlifting,Silver,18
1923,Summer,Japan,Karen Boyd,Cycling,Gold,27
1923,Summer,Australia,Casey Castaneda,Weightlifting,,25
1923,Summer,Australia,Christina Rhodes,Boxing,Bronze,24
1923,Summer,India,Suzanne Williams,Boxing,,31
1923,Summer,China,Stacie Johnson,Athletics,Silver,40
1923,Summer,China,Harold Cuevas,Gymnastics,Bronze,20
1923,Summer,France,Ronald Maldonado,Athletics,,37
1923,Summer,Russia,Samuel Bishop,Tennis,Silver,40
1923,Summer,UK,James Bush,Rowing,Bronze,25
1923,Summer,South Africa,Drew Munoz,Tennis,Gold,39
1923,Summer,South Korea,Victoria Lamb,Boxing,,19
1923,Summer,Japan,Robert Holloway,Swimming,,40
1923,Summer,Italy,Brian Brown,Athletics,Bronze,19
1923,Summer,Australia,Katherine Rollins,Athletics,Gold,21
1923,Summer,South Africa,Victoria Jones,Cycling,,29
1923,Summer,Russia,Justin Whitaker,Gymnastics,Silver,24
1923,Summer,South Korea,Diana Chavez,Gymnastics,Bronze,38
1923,Summer,Germany,Daniel Fleming,Tennis,Silver,39
1923,Summer,China,Ian Ray,Gymnastics,Silver,20
1923,Summer,Russia,Jordan Martin,Swimming,Silver,22
1923,Summer,South Korea,Jonathan Beard,Gymnastics,,19
1923,Summer,Russia,Alexa Patel,Rowing,,18
1923,Summer,Russia,Jason Hickman,Soccer,Silver,36
1923,Summer,USA,Denise Pearson,Swimming,Bronze,24
1923,Summer,Russia,Michele Wilkins,Swimming,Gold,22
1923,Summer,Russia,Jesus Wilson,Soccer,,21
1923,Summer,USA,Mary Reynolds,Tennis,,26
1923,Summer,UK,Lauren Gomez,Cycling,Silver,21
1923,Summer,Japan,Ricky Ramirez,Soccer,,40
1923,Summer,Russia,Mike Ramirez,Basketball,Silver,30
1923,Summer,Australia,Michael Brown,Boxing,,40
1923,Summer,Italy,Lisa Wiley MD,Weightlifting,,26
1923,Summer,USA,Ashley Lewis,Gymnastics,Gold,35
1923,Summer,China,Marissa Brown,Basketball,,38
1923,Summer,France,Amanda Francis,Weightlifting,Silver,34
1923,Summer,South Korea,Kerry Bond,Athletics,Bronze,38
1923,Summer,USA,Anne Jones,Athletics,,31
1923,Summer,UK,Robin Dyer,Weightlifting,Bronze,27
1923,Summer,UK,Ashley Phillips,Athletics,Gold,29
1923,Summer,USA,Norma Walsh,Gymnastics,Silver,27
1923,Summer,South Korea,Cheryl Morrison,Rowing,,29
1923,Summer,Brazil,Stacey Davis,Soccer,Gold,23
1923,Summer,South Korea,Kayla Tucker,Tennis,,24
1923,Summer,USA,Stacey Hall,Swimming,Gold,36
1923,Summer,USA,Pamela Tucker,Rowing,Silver,35
1923,Summer,UK,Pamela Thomas,Rowing,,26
1923,Summer,UK,Robert Robinson,Cycling,Silver,33
1923,Summer,India,Jacqueline Day,Basketball,Silver,33
1923,Summer,Italy,Randy Woodard,Swimming,Bronze,32
1923,Summer,Russia,Diana Barker,Swimming,,30
1923,Summer,India,Connie Martinez,Boxing,Silver,23
1923,Summer,Canada,Nicholas Taylor,Swimming,Bronze,21
1923,Summer,South Africa,Nancy Ochoa,Swimming,Gold,28
1923,Summer,Germany,Christopher Jarvis,Weightlifting,Bronze,19
1923,Summer,France,Kevin Caldwell,Tennis,Gold,27
1923,Summer,Brazil,Douglas Nelson,Gymnastics,,18
1923,Summer,China,Christine Cole,Cycling,Bronze,29
1923,Summer,UK,Jerry Wilkins,Swimming,Bronze,31
1923,Summer,China,Lauren Wilson,Athletics,Silver,30
1923,Summer,South Korea,Megan Brooks,Boxing,Gold,39
1923,Summer,South Africa,Christine Doyle,Swimming,Silver,22
1923,Summer,Italy,Jasmine Thompson,Gymnastics,Gold,36
