Year,Type,Country,Athlete,Sport,Medal,Age
2006,Summer,South Africa,Joshua Chang,Tennis,Silver,40
2006,Summer,Russia,Tammy Harris,Boxing,Silver,19
2006,Summer,Italy,Amanda Wolf MD,Gymnastics,Silver,20
2006,Summer,Brazil,Amanda Berger,Rowing,Silver,40
2006,Summer,Brazil,Matthew Navarro,Basketball,Gold,18
2006,Summer,South Korea,Tina Wilson,Boxing,,30
2006,Summer,Italy,Joshua Jones,Cycling,,21
2006,Summer,China,Elizabeth Klein,Cycling,Gold,37
2006,Summer,China,Casey Gonzalez DDS,Gymnastics,Gold,24
2006,Summer,USA,Cynthia Moreno,Boxing,Silver,27
2006,Summer,India,Sheila Glenn,Swimming,Silver,33
2006,Summer,Canada,Brian Snyder,Weightlifting,,40
2006,Summer,India,Cody Ellis,Boxing,Gold,24
2006,Summer,India,Elizabeth Bradley,Athletics,,34
2006,Summer,Brazil,Jeanette Smith,Boxing,,20
2006,Summer,Canada,David Thompson,Rowing,Silver,28
2006,Summer,Germany,Vanessa Davis,Basketball,Bronze,28
2006,Summer,South Africa,Erin Owens,Swimming,,29
2006,Summer,South Korea,Rachel Smith,Cycling,Silver,33
2006,Summer,South Korea,David Barnes,Gymnastics,Bronze,39
2006,Summer,South Africa,Laura Lozano MD,Weightlifting,,36
2006,Summer,USA,Michael Campbell,Soccer,Silver,23
2006,Summer,Canada,Thomas Coleman,Tennis,Silver,40
2006,Summer,USA,Jennifer Curtis,Athletics,Silver,19
2006,Summer,UK,David Davis,Soccer,Silver,19
2006,Summer,Germany,Rodney Hayden,Basketball,Gold,18
2006,Summer,Japan,Luis Rich,Basketball,Gold,19
2006,Summer,Italy,Zachary Logan,Basketball,Gold,40
2006,Summer,Canada,Luis Davis,Weightlifting,Bronze,26
2006,Summer,UK,Andrew Graves,Cycling,Bronze,40
2006,Summer,Italy,Wayne Bell,Gymnastics,Bronze,35
2006,Summer,UK,Elizabeth Fisher,Soccer,Gold,32
2006,Summer,Japan,Emily Burns,Swimming,Silver,28
2006,Summer,UK,Anthony Wolfe,Gymnastics,Gold,26
2006,Summer,UK,Stephanie Serrano,Swimming,,38
2006,Summer,India,Christian Mcpherson,Boxing,Bronze,21
2006,Summer,Brazil,Debbie Estrada,Boxing,,40
2006,Summer,France,Tammy Kemp,Soccer,Bronze,28
2006,Summer,South Korea,Jonathan Orozco,Basketball,Bronze,24
2006,Summer,Brazil,Nicholas Neal,Weightlifting,Bronze,29
2006,Summer,Australia,Jeremy Schneider,Swimming,Silver,20
2006,Summer,Japan,Christina Parks,Athletics,Gold,33
2006,Summer,UK,David Park,Rowing,,40
2006,Summer,China,Miguel Owens,Weightlifting,Gold,19
2006,Summer,Australia,Priscilla Johnson,Rowing,Silver,29
2006,Summer,Russia,Michael Yang,Soccer,,27
2006,Summer,Australia,Alexander Parker,Tennis,,40
2006,Summer,Australia,Ruben Garrett,Athletics,Gold,23
2006,Summer,India,Eric Robinson,Tennis,Gold,36
2006,Summer,Brazil,Elizabeth Edwards,Cycling,Gold,18
2006,Summer,UK,Rose Williams,Athletics,Gold,33
2006,Summer,Canada,Anna Wallace,Cycling,Bronze,36
2006,Summer,India,Tony Flores,Cycling,,31
2006,Summer,Russia,Emma Watkins,Tennis,Bronze,24
2006,Summer,Italy,Jennifer Copeland,Boxing,,28
2006,Summer,USA,Javier Hamilton,Gymnastics,Gold,28
2006,Summer,Italy,Douglas Black,Soccer,,34
2006,Summer,South Korea,Brian Palmer,Gymnastics,Bronze,26
2006,Summer,Italy,Barbara Mccoy,Cycling,Bronze,26
2006,Summer,South Africa,William Aguilar,Gymnastics,Gold,19
2006,Summer,India,Sean Norris,Basketball,Bronze,26
2006,Summer,USA,Christian Franco,Rowing,,18
2006,Summer,USA,Tanya Miller,Athletics,Gold,32
2006,Summer,Italy,Mandy Jones,Weightlifting,Gold,21
2006,Summer,Japan,Jordan Chen,Soccer,Gold,18
2006,Summer,France,Christie Fischer,Weightlifting,Silver,28
2006,Summer,Japan,Kimberly Patterson,Boxing,Silver,35
2006,Summer,Canada,David Winters,Boxing,Silver,21
2006,Summer,UK,Melissa Whitehead,Boxing,Bronze,40
2006,Summer,USA,Jacqueline Morgan,Swimming,,36
2006,Summer,France,Heather Good,Cycling,Gold,31
2006,Summer,Brazil,James Fowler,Gymnastics,Silver,37
2006,Summer,China,Dustin Stewart,Athletics,Silver,30
2006,Summer,Canada,Michele James,Swimming,,39
2006,Summer,South Korea,Grace Frank,Boxing,Bronze,25
2006,Summer,India,Kaitlin Smith,Cycling,Silver,20
2006,Summer,Canada,Thomas Fox,Athletics,Bronze,24
2006,Summer,South Africa,Jeff Bailey,Weightlifting,Silver,35
2006,Summer,Germany,Anthony Garcia,Athletics,Gold,38
2006,Summer,Brazil,Yvonne Miller,Soccer,Bronze,20
2006,Summer,Brazil,Robert Lowery,Boxing,Bronze,20
2006,Summer,Germany,James Banks,Soccer,Gold,19
2006,Summer,Canada,Stephanie Campbell,Boxing,Bronze,38
2006,Summer,UK,Richard Wilkerson,Gymnastics,Bronze,26
2006,Summer,Australia,Jon Adams,Cycling,Silver,35
2006,Summer,Australia,Amanda Campbell,Athletics,Silver,30
2006,Summer,UK,Todd Hensley,Swimming,Gold,21
2006,Summer,Germany,Terry Patterson,Gymnastics,Silver,23
2006,Summer,UK,David Smith,Weightlifting,Bronze,38
2006,Summer,UK,Audrey Simmons,Weightlifting,Gold,19
2006,Summer,South Africa,Austin Cook,Athletics,,38
2006,Summer,South Korea,Cristina Paul,Gymnastics,Bronze,27
2006,Summer,China,Raymond Bradley,Basketball,,24
2006,Summer,South Africa,Dale Davis DVM,Rowing,,39
2006,Summer,South Africa,Anthony Smith,Basketball,Silver,30
2006,Summer,China,Mark Jones,Athletics,,18
2006,Summer,China,Jay Allen,Cycling,Silver,20
2006,Summer,South Korea,Dominique Romero,Boxing,Gold,35
2006,Summer,Japan,Lisa Gordon,Basketball,Gold,20
2006,Summer,Australia,Julia Jones,Basketball,Gold,22
2006,Summer,France,Faith Alvarado,Athletics,Bronze,25
2006,Summer,China,Anna King,Gymnastics,Bronze,38
2006,Summer,China,Dana Fox,Boxing,Bronze,37
2006,Summer,Russia,Anthony Jenkins,Boxing,Bronze,38
2006,Summer,France,Michelle Roberts,Basketball,Bronze,34
2006,Summer,Russia,Beth Underwood,Gymnastics,Silver,35
2006,Summer,China,Michael Williams,Cycling,Silver,23
2006,Summer,South Africa,Corey Webster,Swimming,,39
2006,Summer,USA,Jeffrey Dougherty,Weightlifting,Bronze,18
2006,Summer,Germany,Anna Johnson,Swimming,,36
2006,Summer,Canada,Philip Watson,Boxing,,37
2006,Summer,Italy,Logan Jones,Soccer,Silver,34
2006,Summer,Brazil,Kristy Lewis,Soccer,,30
2006,Summer,Japan,Kimberly Brock,Weightlifting,Bronze,19
2006,Summer,USA,Christopher Long,Boxing,Bronze,23
2006,Summer,USA,Peter Moss,Gymnastics,Bronze,20
2006,Summer,UK,Scott Flores,Gymnastics,,26
2006,Summer,Russia,Cynthia Simon,Swimming,Silver,37
2006,Summer,Italy,Joshua Morgan,Gymnastics,Bronze,31
2006,Summer,Canada,Ruben Marquez,Basketball,,24
2006,Summer,China,Joshua Parker,Weightlifting,,35
2006,Summer,Brazil,Laura Elliott,Swimming,,34
2006,Summer,Russia,Jon Miles,Weightlifting,Gold,34
2006,Summer,Brazil,Adrian Walsh,Swimming,,31
2006,Summer,Italy,Megan Hayes,Cycling,Gold,20
2006,Summer,France,Karl Johnson,Boxing,Silver,19
2006,Summer,Australia,Christine Smith,Swimming,Bronze,21
2006,Summer,India,Shari Mosley,Weightlifting,,37
2006,Summer,France,Shelby Matthews,Athletics,,27
2006,Summer,USA,Brandon Green,Gymnastics,,36
2006,Summer,USA,Jose Roberts,Tennis,Bronze,28
2006,Summer,Brazil,Joshua Owens,Soccer,,18
2006,Summer,Italy,Justin Johnson,Rowing,Gold,39
2006,Summer,Canada,Sara Anderson,Cycling,Gold,26
2006,Summer,UK,Briana Lewis,Soccer,,27
2006,Summer,USA,Charles Harrell,Basketball,,32
2006,Summer,China,Rickey Wright,Athletics,,36
2006,Summer,China,Chelsea White,Basketball,Bronze,21
2006,Summer,Germany,Lisa Bowen,Tennis,,23
2006,Summer,France,Nancy Stephenson,Cycling,Silver,35
2006,Summer,Germany,David Banks,Basketball,Silver,24
2006,Summer,China,Rebecca Savage,Boxing,Silver,39
