Year,Type,Country,Athlete,Sport,Medal,Age
1995,Winter,India,Kimberly Nolan,Speed Skating,,29
1995,Winter,France,Antonio Williams,Bobsleigh,,25
1995,Winter,South Korea,Kathleen Miranda,Biathlon,Bronze,24
1995,Winter,France,Dr. Lisa Kim,Curling,,36
1995,Winter,Japan,Ashley Elliott,Figure Skating,,29
1995,Winter,South Korea,Aaron Greene II,Snowboarding,Bronze,30
1995,Winter,Brazil,Robert Medina,Speed Skating,Bronze,18
1995,Winter,UK,Mariah Martin,Biathlon,,33
1995,Winter,USA,Leonard Pratt,Biathlon,Silver,22
1995,Winter,South Africa,Tony Mullen,Bobsleigh,Bronze,39
1995,Winter,France,Kenneth Lewis,Ice Hockey,Silver,20
1995,Winter,Japan,Kathleen Rubio,Speed Skating,Gold,29
1995,Winter,Australia,Patrick Callahan,Biathlon,Silver,40
1995,Winter,China,Rebecca Robinson,Ice Hockey,Silver,23
1995,Winter,Canada,Lacey Hines,Skiing,Bronze,26
1995,Winter,South Korea,Christian Howard,Figure Skating,,38
1995,Winter,Brazil,Bradley Ruiz,Bobsleigh,Bronze,27
1995,Winter,India,Justin Rivera,Figure Skating,,24
1995,Winter,China,Tina Bradley,Speed Skating,Bronze,23
1995,Winter,Japan,Thomas Carter,Figure Skating,Silver,19
1995,Winter,Italy,Lawrence Fritz,Skiing,Gold,23
1995,Winter,China,Jeffrey Hale,Bobsleigh,,34
1995,Winter,China,Lance Dickerson,Biathlon,,40
1995,Winter,Japan,Cynthia Poole,Skiing,Bronze,23
1995,Winter,Germany,Justin Smith,Curling,Silver,32
1995,Winter,UK,April Ramirez,Curling,Silver,24
1995,Winter,Japan,Patrick Rivera,Curling,Gold,23
1995,Winter,Italy,Monica Smith,Figure Skating,Silver,24
1995,Winter,Japan,Samantha Shah,Skiing,Silver,30
1995,Winter,Canada,Betty Stewart,Speed Skating,Bronze,23
1995,Winter,Australia,Kimberly Bowen,Biathlon,Bronze,26
1995,Winter,USA,James Walton,Speed Skating,Gold,37
1995,Winter,Japan,Brittany Taylor,Ice Hockey,Gold,31
