Year,Type,Country,Athlete,Sport,Medal,Age
1919,Summer,UK,Christopher Allen,Boxing,Silver,23
1919,Summer,Germany,Lori Garrison,Gymnastics,Bronze,26
1919,Summer,Russia,Alex Smith DVM,Cycling,Gold,36
1919,Summer,Brazil,Austin Mccall,Cycling,,18
1919,Summer,China,Jason Williams,Basketball,Bronze,30
1919,Summer,China,Kathryn Francis,Gymnastics,Bronze,33
1919,Summer,Russia,Jacqueline Schultz,Tennis,Gold,40
1919,Summer,Italy,Larry Christensen,Tennis,Silver,24
1919,Summer,Germany,Morgan George,Cycling,Bronze,31
1919,Summer,USA,Jennifer Bernard,Tennis,Bronze,36
1919,Summer,Italy,Jerry Lopez,Tennis,Bronze,39
1919,Summer,Russia,Caleb Long,Cycling,Bronze,35
1919,Summer,France,Stephen Walker,Weightlifting,,28
1919,Summer,Italy,Jared Shannon,Weightlifting,Bronze,38
1919,Summer,Italy,Brian Chen,Cycling,Bronze,30
1919,Summer,UK,Rebecca Martinez,Swimming,Bronze,33
1919,Summer,France,Austin Foster,Athletics,Bronze,36
1919,Summer,South Africa,Jessica Taylor,Weightlifting,Bronze,34
1919,Summer,South Korea,Mr. Shannon Reyes,Boxing,Silver,23
1919,Summer,Japan,Michael Barton,Boxing,Silver,33
1919,Summer,Germany,Anthony Dixon,Cycling,Bronze,18
1919,Summer,Russia,Daniel Anderson,Tennis,,24
1919,Summer,China,Sharon Morrow,Weightlifting,Gold,36
1919,Summer,South Africa,Ryan Reyes,Boxing,Gold,27
1919,Summer,Germany,Cody Sanchez,Tennis,Gold,30
1919,Summer,Brazil,Kenneth Brewer,Weightlifting,Gold,21
1919,Summer,South Korea,Joseph Perry,Cycling,Silver,36
1919,Summer,UK,Dana Meyer,Basketball,,40
1919,Summer,Japan,James Wilson,Boxing,,30
1919,Summer,China,Nathan Edwards,Weightlifting,Gold,27
1919,Summer,South Africa,Amber Hoffman,Basketball,Bronze,40
1919,Summer,Germany,Elizabeth Nguyen,Rowing,Bronze,37
1919,Summer,Italy,Rachel Green,Weightlifting,Bronze,39
1919,Summer,UK,Raymond Cohen,Boxing,Silver,38
1919,Summer,Australia,Kathleen Castro,Athletics,Bronze,28
1919,Summer,South Africa,David Meyer,Swimming,,25
1919,Summer,Canada,Willie Merritt,Rowing,,38
1919,Summer,South Korea,Robert Ball,Tennis,Silver,23
1919,Summer,India,David Charles,Weightlifting,Silver,23
1919,Summer,Germany,Erica Taylor,Tennis,Bronze,27
1919,Summer,UK,Wanda Schultz,Gymnastics,Bronze,28
1919,Summer,Brazil,Dana Morrison,Tennis,Bronze,31
1919,Summer,Canada,Curtis Green,Swimming,Bronze,38
1919,Summer,Australia,Amy Lindsey,Cycling,Bronze,33
1919,Summer,Japan,Kathryn Watts,Soccer,Silver,22
1919,Summer,Russia,Felicia Wiley,Cycling,Bronze,26
1919,Summer,USA,Ryan Myers,Athletics,Gold,35
1919,Summer,China,Bridget Hoffman,Gymnastics,,31
1919,Summer,USA,Shawn Nguyen,Rowing,Silver,24
1919,Summer,Japan,Anna York,Tennis,,25
1919,Summer,Japan,Emily Fletcher,Rowing,,39
1919,Summer,USA,Alicia Taylor,Rowing,Gold,23
1919,Summer,Russia,William Johnston DVM,Boxing,Bronze,28
1919,Summer,South Africa,Emily Graham,Cycling,Bronze,25
1919,Summer,USA,Mitchell West,Weightlifting,Bronze,25
1919,Summer,Canada,Michael Mullins,Soccer,Silver,40
1919,Summer,Japan,Wesley Smith,Basketball,Silver,25
1919,Summer,India,Dr. Ernest Williams DVM,Gymnastics,Gold,25
1919,Summer,France,Kenneth Cook II,Athletics,Silver,21
1919,Summer,Australia,Stephen Foster,Cycling,Gold,25
1919,Summer,Japan,Darren Prince,Soccer,Gold,26
1919,Summer,Canada,Henry Thomas,Weightlifting,,29
1919,Summer,Brazil,Jasmine Richmond,Gymnastics,Gold,26
1919,Summer,France,Darrell Mccall,Weightlifting,Bronze,38
1919,Summer,Australia,Felicia Gonzalez,Swimming,Gold,26
1919,Summer,Germany,Daniel Steele,Athletics,Gold,37
1919,Summer,South Korea,Jennifer Bailey,Weightlifting,Silver,22
1919,Summer,India,Bryan Carroll,Cycling,Gold,27
1919,Summer,China,Christie Goodman,Weightlifting,Silver,37
1919,Summer,Russia,Anthony Barber,Tennis,Bronze,31
1919,Summer,Australia,Bradley Harper,Boxing,Bronze,31
1919,Summer,Russia,Ronald Wong,Weightlifting,Bronze,32
1919,Summer,Germany,Craig Rivera,Soccer,Bronze,34
1919,Summer,South Africa,Amy Nguyen,Boxing,Gold,35
1919,Summer,UK,Gary Farley,Athletics,Bronze,37
1919,Summer,USA,Brittany Potter,Athletics,,28
1919,Summer,France,Curtis Edwards,Soccer,Bronze,37
1919,Summer,Italy,David Wilson,Swimming,,35
1919,Summer,USA,Benjamin Harper,Basketball,Silver,36
1919,Summer,Australia,Meghan Lucas,Boxing,Silver,28
1919,Summer,Germany,Cindy Horton,Athletics,,20
1919,Summer,India,Kelsey May,Boxing,Silver,39
