Year,Type,Country,Athlete,Sport,Medal,Age
1962,Summer,China,Jonathan Park,Boxing,Bronze,39
1962,Summer,South Korea,Richard Martin,Tennis,Bronze,29
1962,Summer,Italy,Joseph Mays,Swimming,Bronze,40
1962,Summer,Russia,Brendan Wallace,Rowing,Gold,22
1962,Summer,South Africa,Greg Shelton,Cycling,Bronze,24
1962,Summer,South Korea,Natalie Burch,Swimming,Bronze,30
1962,Summer,Australia,Charles Sims,Basketball,Gold,32
1962,Summer,USA,Rodney Armstrong,Rowing,Silver,22
1962,Summer,Italy,Paige Romero,Boxing,Bronze,24
1962,Summer,Japan,Richard Hull,Weightlifting,Silver,31
1962,Summer,USA,Michelle Riley,Weightlifting,,34
1962,Summer,Japan,Kimberly Nunez,Weightlifting,,33
1962,Summer,Canada,Maria Costa,Athletics,Bronze,26
1962,Summer,UK,Monique Kennedy,Basketball,,21
1962,Summer,Australia,Brett Graham,Basketball,Silver,25
1962,Summer,India,Mrs. Stephanie Stone,Tennis,Gold,22
1962,Summer,Brazil,Samuel Fisher Jr.,Weightlifting,Silver,39
1962,Summer,Japan,Blake Martin,Gymnastics,Bronze,29
1962,Summer,France,Timothy Casey,Gymnastics,Bronze,40
1962,Summer,France,Derek Carter,Basketball,Silver,38
1962,Summer,UK,Tina Mcgee,Basketball,Gold,35
1962,Summer,Canada,Francisco Bell,Boxing,Gold,29
1962,Summer,South Korea,Shelley Lee,Gymnastics,,30
1962,Summer,South Korea,Christina Ortiz,Soccer,Bronze,36
1962,Summer,Australia,Renee King,Rowing,Gold,21
1962,Summer,India,Brandon Moss,Boxing,Silver,23
1962,Summer,South Africa,Tyler Maldonado,Athletics,,24
1962,Summer,Russia,Desiree Alexander,Cycling,Gold,35
1962,Summer,Italy,Joseph Bell,Basketball,,24
1962,Summer,Russia,Rebecca Scott,Rowing,Bronze,22
1962,Summer,Canada,Melissa Doyle,Athletics,Bronze,24
1962,Summer,India,Scott Cameron,Basketball,Bronze,36
1962,Summer,Canada,Jackie Wilson,Swimming,Gold,26
1962,Summer,USA,Cassandra Ross,Soccer,Silver,31
1962,Summer,South Africa,Marcus Smith,Soccer,Gold,31
1962,Summer,USA,Jacob Johnson,Soccer,Gold,37
1962,Summer,Japan,Tiffany English,Tennis,Silver,28
1962,Summer,Russia,Connor Fisher,Swimming,Silver,40
1962,Summer,Russia,Carla Murphy,Soccer,Bronze,36
1962,Summer,Russia,Christopher Collins,Basketball,Bronze,29
1962,Summer,UK,Javier Morales DVM,Tennis,Bronze,38
1962,Summer,India,Debra Gamble,Basketball,Bronze,35
1962,Summer,UK,Amy Bell,Gymnastics,,39
1962,Summer,USA,Veronica Ward,Gymnastics,Gold,19
1962,Summer,USA,Michael Meyer,Boxing,Silver,25
1962,Summer,South Korea,Patrick Reed,Weightlifting,Silver,23
1962,Summer,South Korea,Elizabeth Zimmerman,Athletics,Silver,33
1962,Summer,Japan,Valerie Knox,Basketball,,25
1962,Summer,Japan,Matthew Gonzales,Swimming,Bronze,27
1962,Summer,Australia,Stephen Hinton,Basketball,Bronze,38
1962,Summer,Italy,Sharon Pratt,Boxing,,30
1962,Summer,Canada,Jacqueline Anderson,Weightlifting,Gold,25
1962,Summer,Canada,Alec Salazar,Tennis,,29
1962,Summer,South Korea,Christian Smith,Gymnastics,Bronze,37
1962,Summer,Germany,Gary Morrow,Tennis,,34
1962,Summer,South Africa,Ellen Rivas,Weightlifting,Gold,36
1962,Summer,Japan,Jennifer Davis,Boxing,Bronze,28
1962,Summer,South Africa,Ralph Lindsey,Rowing,Bronze,29
1962,Summer,Japan,Elizabeth Greer,Gymnastics,Silver,25
1962,Summer,South Korea,Angel Dudley,Tennis,Silver,26
1962,Summer,USA,Richard Ramirez,Gymnastics,,24
1962,Summer,Russia,Brandon Johnston,Weightlifting,,40
1962,Summer,China,Ryan Rowe,Weightlifting,Silver,34
1962,Summer,Japan,Taylor Foster,Weightlifting,Bronze,38
1962,Summer,India,Stacie Fields,Athletics,Bronze,26
1962,Summer,Russia,Isaac Miller,Swimming,Bronze,36
1962,Summer,France,Erica Mcgrath,Cycling,Silver,33
1962,Summer,UK,Pamela Gray,Boxing,Gold,28
1962,Summer,India,Monica Pruitt,Athletics,Bronze,39
1962,Summer,Canada,Adrian Sweeney,Athletics,Gold,36
