Year,Type,Country,Athlete,Sport,Medal,Age
1946,Winter,Brazil,Emily Baker,Skiing,Bronze,19
1946,Winter,Russia,Roger Cole,Figure Skating,,20
1946,Winter,Italy,Brian Marks,Speed Skating,Bronze,31
1946,Winter,France,Cassandra Butler,Ice Hockey,,21
1946,Winter,Japan,Michael Robertson,Ice Hockey,Gold,34
1946,Winter,China,Justin Warren,Curling,Gold,27
1946,Winter,France,Angela Freeman,Speed Skating,Bronze,19
1946,Winter,Italy,Jorge Francis,Bobsleigh,Silver,26
1946,Winter,Russia,Marissa Black,Speed Skating,Silver,23
1946,Winter,South Korea,John Mitchell,Biathlon,Bronze,34
1946,Winter,China,Michelle Zimmerman,Speed Skating,,22
1946,Winter,China,Samuel Leonard,Biathlon,,25
1946,Winter,Italy,Darren Jones,Bobsleigh,Silver,35
1946,Winter,Italy,Mario Mcdonald,Figure Skating,Bronze,36
1946,Winter,UK,Kimberly Morgan,Curling,Gold,33
1946,Winter,Australia,Danielle Hernandez,Bobsleigh,Bronze,25
1946,Winter,USA,Christopher Parks,Bobsleigh,Bronze,19
1946,Winter,Australia,Gary Mendez,Curling,Bronze,29
1946,Winter,Brazil,Alicia Roberts,Ice Hockey,Bronze,36
1946,Winter,China,April Humphrey,Snowboarding,Gold,36
1946,Winter,Japan,James Carter,Figure Skating,Silver,31
1946,Winter,South Korea,Jessica Miller,Skiing,Gold,34
1946,Winter,Brazil,Justin Rodriguez,Snowboarding,,39
1946,Winter,Canada,Mark Hess,Snowboarding,Silver,33
1946,Winter,Russia,Gary Salinas,Biathlon,,36
1946,Winter,Russia,Holly Garcia,Curling,Gold,34
1946,Winter,Canada,Kevin Andrade,Skiing,,18
1946,Winter,China,James Diaz,Bobsleigh,,33
1946,Winter,UK,Dr. Jeremy Calhoun,Bobsleigh,,21
1946,Winter,South Korea,Philip Alexander DDS,Biathlon,Silver,18
1946,Winter,Germany,Veronica Li,Bobsleigh,Silver,18
1946,Winter,China,Rachel Howard,Ice Hockey,Bronze,40
1946,Winter,Germany,Nicholas Foster,Speed Skating,,35
1946,Winter,Japan,Matthew Harding,Speed Skating,Gold,23
1946,Winter,USA,Stephanie Johnson,Figure Skating,,24
1946,Winter,India,David Keith PhD,Skiing,,35
1946,Winter,Canada,Eric Walker DVM,Skiing,Bronze,30
