Year,Type,Country,Athlete,Sport,Medal,Age
1964,Winter,South Africa,Vincent Cochran,Speed Skating,,40
1964,Winter,Australia,Tracy Edwards,Ice Hockey,,38
1964,Winter,Germany,Jacob Allen,Biathlon,,28
1964,Winter,India,Monica Lewis,Skiing,Bronze,34
1964,Winter,China,Taylor Boyd,Snowboarding,,32
1964,Winter,China,Chelsea Wheeler,Snowboarding,Silver,35
1964,Winter,South Korea,Theresa Newman,Snowboarding,Gold,23
1964,Winter,Russia,Miranda Bell,Figure Skating,Gold,20
1964,Winter,Canada,Rachel Miller,Skiing,Bronze,35
1964,Winter,France,Jennifer Little,Curling,Gold,22
1964,Winter,Australia,Brent Brady,Curling,Bronze,19
1964,Winter,India,Johnny Mckenzie,Figure Skating,Bronze,32
1964,Winter,USA,Anthony Wagner,Skiing,Gold,38
1964,Winter,USA,Rachel Smith,Curling,Gold,25
1964,Winter,India,Nancy Clark,Ice Hockey,,23
1964,Winter,France,Robert Barnes,Skiing,Bronze,19
1964,Winter,South Africa,Christopher Foley,Figure Skating,,24
1964,Winter,China,Craig Cortez,Skiing,Silver,32
1964,Winter,Canada,Peter Nichols,Ice Hockey,Bronze,23
1964,Winter,UK,Linda Golden,Bobsleigh,Silver,37
1964,Winter,Germany,Sara Campbell,Ice Hockey,Bronze,38
1964,Winter,Australia,Joe Singleton,Snowboarding,Bronze,21
1964,Winter,USA,Jacob Sweeney,Biathlon,Bronze,24
1964,Winter,UK,Timothy Olson,Bobsleigh,,27
1964,Winter,UK,Jason Martinez,Bobsleigh,Silver,27
1964,Winter,China,Lisa Shaw,Speed Skating,Bronze,39
1964,Winter,China,Wanda Shaffer,Biathlon,,37
1964,Winter,South Korea,Lisa Mckay,Bobsleigh,,38
1964,Winter,USA,Ryan Stanley,Bobsleigh,Bronze,24
1964,Winter,China,Heidi Campbell,Biathlon,Bronze,31
1964,Winter,Japan,Denise Parker,Curling,Bronze,36
1964,Winter,India,Mary Smith,Ice Hockey,Bronze,36
1964,Winter,Australia,Kyle Schultz,Ice Hockey,Gold,28
1964,Winter,Japan,Nicole Vincent,Bobsleigh,Gold,32
1964,Winter,India,Denise Molina,Skiing,Bronze,18
1964,Winter,China,Michael Hardin,Ice Hockey,Gold,30
1964,Winter,Italy,Amy Taylor,Bobsleigh,Bronze,29
1964,Winter,India,Kim Ramirez,Snowboarding,Silver,30
1964,Winter,South Korea,Eric Garcia,Skiing,Gold,35
1964,Winter,Australia,Ruth Browning,Biathlon,,20
1964,Winter,UK,Valerie Pitts,Biathlon,Bronze,23
1964,Winter,South Africa,Andrew Poole,Skiing,Gold,34
1964,Winter,UK,Terry Patterson,Bobsleigh,Bronze,40
1964,Winter,USA,Christine Turner,Speed Skating,Silver,33
1964,Winter,Australia,Lauren Mcgrath,Ice Hockey,Silver,26
1964,Winter,Canada,Jeffrey Burke,Biathlon,,27
1964,Winter,India,Brad Morgan DVM,Ice Hockey,Gold,37
1964,Winter,Russia,Daniel Boyd,Figure Skating,,27
1964,Winter,USA,Micheal Coleman,Curling,Gold,28
1964,Winter,Germany,Michelle Kaiser,Ice Hockey,Silver,33
1964,Winter,Germany,Brian Duffy,Skiing,Gold,18
1964,Winter,UK,Mary Richards,Speed Skating,Gold,34
1964,Winter,South Korea,Samantha Wyatt,Bobsleigh,,39
1964,Winter,Russia,Lori Smith,Speed Skating,Gold,20
1964,Winter,Italy,Jordan Cook,Skiing,Silver,29
1964,Winter,UK,Sandra Norman,Ice Hockey,Gold,23
1964,Winter,South Korea,Jessica Mann,Figure Skating,,34
